method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean,vbench_subject_consistency_score_count,vbench_subject_consistency_score_mean,vbench_background_consistency_score_count,vbench_background_consistency_score_mean,vbench_temporal_flickering_score_count,vbench_temporal_flickering_score_mean,vbench_motion_smoothness_score_count,vbench_motion_smoothness_score_mean,vbench_dynamic_degree_score_count,vbench_dynamic_degree_score_mean,vbench_aesthetic_quality_score_count,vbench_aesthetic_quality_score_mean,vbench_imaging_quality_score_count,vbench_imaging_quality_score_mean
train_stage1b_kubric0708_step-005000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-005000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6849,67,30.1213,67,26.0028,67,3.6993,67,3.6227,67,3.6119,0,0.0,67,3.791,67,0.9386,67,0.9601,67,0.9938,67,0.9943,67,0.4179,67,0.4603,67,0.6633
train_stage1b_kubric0708_regdiag_resume3500_20260710_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_regdiag_resume3500_20260710_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.687,67,27.9985,67,24.8545,67,4.0158,67,3.9451,67,3.597,0,0.0,67,3.7761,67,0.9654,67,0.9711,67,0.9963,67,0.9962,67,0.3134,67,0.4679,67,0.6787
train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6872,67,29.7658,67,26.8524,67,3.9497,67,3.8757,67,3.5373,0,0.0,67,3.8806,67,0.9641,67,0.9713,67,0.9965,67,0.9963,67,0.3881,67,0.4677,67,0.6788
train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_temporal_sam2,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_temporal_sam2,67,67,0.6878,67,29.87,67,26.9088,67,3.9411,67,3.8665,67,3.5373,0,0.0,67,3.8806,67,0.9639,67,0.9712,67,0.9964,67,0.9963,67,0.3582,67,0.4673,67,0.6796
train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6867,67,28.6784,67,26.0394,67,3.9945,67,3.9212,67,3.5522,0,0.0,67,3.7313,67,0.9638,67,0.9708,67,0.9963,67,0.9961,67,0.3731,67,0.4697,67,0.6809
train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt_temporal_sam2,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt_temporal_sam2,67,67,0.6862,67,29.0733,67,26.44,67,3.994,67,3.9219,67,3.5522,0,0.0,67,3.7612,67,0.9636,67,0.971,67,0.9963,67,0.9961,67,0.403,67,0.469,67,0.6815
train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-004500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-004500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.687,67,28.8146,67,26.1227,67,3.9165,67,3.8397,67,3.5373,0,0.0,67,3.6418,67,0.9636,67,0.9721,67,0.9963,67,0.9962,67,0.4179,67,0.4689,67,0.6792
train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-004500_steps40_512x896_ctx08_49f_defaultnegprompt_temporal_sam2,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-004500_steps40_512x896_ctx08_49f_defaultnegprompt_temporal_sam2,67,67,0.6868,67,28.9242,67,26.197,67,3.9086,67,3.8317,67,3.5075,0,0.0,67,3.9104,67,0.9636,67,0.9718,67,0.9963,67,0.9962,67,0.3731,67,0.4676,67,0.6805
train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-001000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_mixdataset/step-001000/object_residual_1p0x/train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-001000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6884,67,29.0046,67,26.3006,67,3.9873,67,3.9134,67,3.5672,0,0.0,67,3.7463,67,0.9614,67,0.9685,67,0.9961,67,0.9961,67,0.4179,67,0.4707,67,0.6814
train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-001000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_mixdataset/step-001000/object_residual_1p5x/train_stage1b_raw49f_kubric_openvid_replay_sourceaware_fp32gate_fixedctx8_init3500_save500_keepall_20260713T090024Z_step-001000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6887,67,30.0916,67,27.3549,67,4.0264,67,3.9542,67,3.5373,0,0.0,67,3.9254,67,0.961,67,0.9687,67,0.9961,67,0.9961,67,0.403,67,0.4718,67,0.6821
