method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,videophy2_sa_score_count,videophy2_sa_score_mean,videophy2_pc_score_count,videophy2_pc_score_mean,videophy2_joint_rate_count,videophy2_joint_rate_mean,videophy2_pc_raw_score_count,videophy2_pc_raw_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean,vbench_subject_consistency_score_count,vbench_subject_consistency_score_mean,vbench_background_consistency_score_count,vbench_background_consistency_score_mean,vbench_temporal_flickering_score_count,vbench_temporal_flickering_score_mean,vbench_motion_smoothness_score_count,vbench_motion_smoothness_score_mean,vbench_dynamic_degree_score_count,vbench_dynamic_degree_score_mean,vbench_aesthetic_quality_score_count,vbench_aesthetic_quality_score_mean,vbench_imaging_quality_score_count,vbench_imaging_quality_score_mean
wan_lora_top30_steps_20_30,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan_lora_top30_steps_20_30,20,20,0.7,20,39.924,20,26.991,20,4.9303,20,4.7967,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.55,20,0.9725,20,0.9741,20,0.9977,20,0.9969,20,0.4,20,0.4177,20,0.6333
wan_lora_top30_steps_30_40,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan_lora_top30_steps_30_40,20,20,0.6999,20,39.0395,20,26.662,20,4.915,20,4.7779,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.55,20,0.9723,20,0.9715,20,0.9976,20,0.9969,20,0.4,20,0.419,20,0.6292
wan_lora_bottom30_steps_00_10,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan_lora_bottom30_steps_00_10,20,20,0.7023,20,40.209,20,27.4195,20,4.9064,20,4.7975,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.3,20,0.9776,20,0.9755,20,0.9976,20,0.9969,20,0.4,20,0.4273,20,0.6328
wan_lora_bottom30_steps_10_20,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan_lora_bottom30_steps_10_20,20,20,0.7007,20,40.3435,20,26.523,20,4.9783,20,4.8546,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.6,20,0.9728,20,0.9729,20,0.9977,20,0.9969,20,0.45,20,0.421,20,0.6296
wan_lora_bottom30_steps_20_30,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan_lora_bottom30_steps_20_30,20,20,0.7009,20,40.5295,20,27.303,20,5.019,20,4.9039,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.5,20,0.9732,20,0.9723,20,0.9977,20,0.9969,20,0.4,20,0.4156,20,0.6285
