method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,videophy2_sa_score_count,videophy2_sa_score_mean,videophy2_pc_score_count,videophy2_pc_score_mean,videophy2_joint_rate_count,videophy2_joint_rate_mean,videophy2_pc_raw_score_count,videophy2_pc_raw_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean,vbench_subject_consistency_score_count,vbench_subject_consistency_score_mean,vbench_background_consistency_score_count,vbench_background_consistency_score_mean,vbench_temporal_flickering_score_count,vbench_temporal_flickering_score_mean,vbench_motion_smoothness_score_count,vbench_motion_smoothness_score_mean,vbench_dynamic_degree_score_count,vbench_dynamic_degree_score_mean,vbench_aesthetic_quality_score_count,vbench_aesthetic_quality_score_mean,vbench_imaging_quality_score_count,vbench_imaging_quality_score_mean
wan_lora_bottom100_steps_00_10,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan_lora_bottom100_steps_00_10,20,20,0.7007,20,33.4715,20,14.585,20,4.869,20,4.7474,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.3,20,0.976,20,0.9748,20,0.9979,20,0.9969,20,0.25,20,0.4187,20,0.6347
wan_lora_bottom100_steps_10_20,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan_lora_bottom100_steps_10_20,20,20,0.7008,20,38.268,20,21.9675,20,4.9865,20,4.8484,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.35,20,0.9689,20,0.9699,20,0.9976,20,0.9969,20,0.35,20,0.4192,20,0.625
wan_lora_bottom100_steps_20_30,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan_lora_bottom100_steps_20_30,20,20,0.7007,20,39.203,20,29.5105,20,5.0127,20,4.7153,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.3,20,0.9696,20,0.9708,20,0.9973,20,0.9969,20,0.35,20,0.4177,20,0.615
wan_lora_bottom100_steps_30_40,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan_lora_bottom100_steps_30_40,20,20,0.7044,20,39.01,20,29.25,20,4.239,20,3.9794,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,1.5,20,0.9214,20,0.9536,20,0.9963,20,0.9967,20,0.35,20,0.4067,20,0.5934
wan_lora_adaptive_top30_steps_00_40,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan_lora_adaptive_top30_steps_00_40,20,0,0.0,20,39.116,20,26.652,13,4.8115,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,0.4217,20,0.6363
