method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,videophy2_sa_score_count,videophy2_sa_score_mean,videophy2_pc_score_count,videophy2_pc_score_mean,videophy2_joint_rate_count,videophy2_joint_rate_mean,videophy2_pc_raw_score_count,videophy2_pc_raw_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean,vbench_subject_consistency_score_count,vbench_subject_consistency_score_mean,vbench_background_consistency_score_count,vbench_background_consistency_score_mean,vbench_temporal_flickering_score_count,vbench_temporal_flickering_score_mean,vbench_motion_smoothness_score_count,vbench_motion_smoothness_score_mean,vbench_dynamic_degree_score_count,vbench_dynamic_degree_score_mean,vbench_aesthetic_quality_score_count,vbench_aesthetic_quality_score_mean,vbench_imaging_quality_score_count,vbench_imaging_quality_score_mean
wan22_baseline_top30_steps_00_10,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_top30_steps_00_10,20,20,0.7109,20,30.441,20,14.5355,20,4.3499,20,4.1603,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,0.9519,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
wan22_baseline_top30_steps_10_20,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_top30_steps_10_20,20,20,0.7091,20,33.0245,20,16.576,20,4.4851,20,4.3057,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,0.9543,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
wan22_baseline_top30_steps_20_30,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_top30_steps_20_30,20,20,0.7096,20,32.1235,20,15.7215,20,4.4908,20,4.2959,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,0.9554,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
wan22_baseline_top30_steps_30_40,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_top30_steps_30_40,20,20,0.7105,20,32.5575,20,15.7325,20,4.4911,20,4.2929,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,0.9559,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
wan22_baseline_bottom30_steps_00_10,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_bottom30_steps_00_10,20,20,0.7116,20,30.345,20,12.96,20,4.4508,20,4.2618,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,0.9623,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
