method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,videophy2_sa_score_count,videophy2_sa_score_mean,videophy2_pc_score_count,videophy2_pc_score_mean,videophy2_joint_rate_count,videophy2_joint_rate_mean,videophy2_pc_raw_score_count,videophy2_pc_raw_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean,vbench_subject_consistency_score_count,vbench_subject_consistency_score_mean,vbench_background_consistency_score_count,vbench_background_consistency_score_mean,vbench_temporal_flickering_score_count,vbench_temporal_flickering_score_mean,vbench_motion_smoothness_score_count,vbench_motion_smoothness_score_mean,vbench_dynamic_degree_score_count,vbench_dynamic_degree_score_mean,vbench_aesthetic_quality_score_count,vbench_aesthetic_quality_score_mean,vbench_imaging_quality_score_count,vbench_imaging_quality_score_mean
wan22_baseline_bottom30_steps_10_20,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_bottom30_steps_10_20,20,20,0.7082,20,32.4785,20,15.1675,20,4.5847,20,4.4077,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,1.9167,20,0.9554,20,0.9619,20,0.9955,20,0.9953,20,0.6,20,0.4149,20,0.6019
wan22_baseline_bottom30_steps_20_30,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_bottom30_steps_20_30,20,20,0.7107,20,32.4395,20,15.976,20,4.6739,20,4.5007,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,1.85,20,0.9531,20,0.9626,20,0.9955,20,0.9951,20,0.65,20,0.414,20,0.6096
wan22_baseline_bottom30_steps_30_40,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_bottom30_steps_30_40,20,20,0.7086,20,33.4055,20,15.646,20,4.8255,20,4.668,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.05,20,0.9352,20,0.9584,20,0.9956,20,0.9953,20,0.55,20,0.4088,20,0.5968
wan22_baseline_top100_steps_00_10,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_top100_steps_00_10,20,20,0.7172,20,23.0475,20,10.0095,20,3.778,20,3.5353,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.15,20,0.9233,20,0.9488,20,0.9919,20,0.993,20,0.75,20,0.4155,20,0.6077
wan22_baseline_top100_steps_10_20,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_top100_steps_10_20,20,20,0.7098,20,32.6745,20,19.4675,20,4.4476,20,4.2481,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.2,20,0.9484,20,0.9607,20,0.995,20,0.9949,20,0.65,20,0.4155,20,0.6019
