method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean,vbench_subject_consistency_score_count,vbench_subject_consistency_score_mean,vbench_background_consistency_score_count,vbench_background_consistency_score_mean,vbench_temporal_flickering_score_count,vbench_temporal_flickering_score_mean,vbench_motion_smoothness_score_count,vbench_motion_smoothness_score_mean,vbench_dynamic_degree_score_count,vbench_dynamic_degree_score_mean,vbench_aesthetic_quality_score_count,vbench_aesthetic_quality_score_mean,vbench_imaging_quality_score_count,vbench_imaging_quality_score_mean
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_xSSC/formal_mix49_b2_dropout_metrics_20260719T204359Z_step-001500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6873,67,30.2581,67,27.7391,67,4.1438,67,4.0799,67,3.6567,0,0.0,67,3.8507,67,0.9668,67,0.9715,67,0.9969,67,0.9963,67,0.3134,67,0.4692,67,0.684
formal_mix49_b2_dropout_metrics_20260719T204359Z_step-001000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_xSSC/formal_mix49_b2_dropout_metrics_20260719T204359Z_step-001000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6879,67,30.7757,67,27.4,67,4.0161,67,3.9439,67,3.5672,0,0.0,67,4.2388,67,0.9663,67,0.9709,67,0.9968,67,0.9963,67,0.3582,67,0.4705,67,0.6787
train_xssc_context_slots_step-002000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_xSSC/formal_mix49_b2_dropout_metrics_20260719T204359Z_step-002000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6869,67,29.7213,67,27.1488,67,4.0798,67,4.0128,67,3.5672,0,0.0,67,3.791,67,0.9654,67,0.9714,67,0.9967,67,0.9964,67,0.3881,67,0.4684,67,0.6837
xssc_randomcrop_pooled_gpu45_mix49_formal_randomcrop_pooled_gpu45_20260720T110031Z_step-001000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_xSSC/xssc_randomcrop_pooled_step-001000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6878,67,30.1466,67,27.3301,67,4.0836,67,4.0153,67,3.6119,0,0.0,67,3.7463,67,0.9619,67,0.9694,67,0.9964,67,0.9961,67,0.3284,67,0.4708,67,0.6824
xssc_randomcrop_pooled_gpu45_mix49_formal_randomcrop_pooled_gpu45_20260720T110031Z_step-002000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_xSSC/xssc_randomcrop_pooled_step-002000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.69,67,29.0988,67,26.6131,67,3.9878,67,3.9099,67,3.5522,0,0.0,67,3.791,67,0.958,67,0.9662,67,0.9957,67,0.9957,67,0.4627,67,0.471,67,0.6775
xssc_randomcrop_pooled_gpu45_mix49_formal_randomcrop_pooled_gpu45_20260720T110031Z_step-001500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_xSSC/xssc_randomcrop_pooled_step-001500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.69,67,28.8169,67,26.1393,67,4.0247,67,3.9532,67,3.5821,0,0.0,67,3.7015,67,0.9605,67,0.9676,67,0.9958,67,0.9959,67,0.4627,67,0.4711,67,0.6801
train_xssc_context_slots_step-002000_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_xSSC/formal_mix49_b2_dropout_metrics_20260719T204359Z_step-002000_steps40_512x896_ctx08_49f_negpromptNone,67,67,0.6877,67,29.703,67,26.9333,67,4.1796,67,4.1001,67,3.5672,0,0.0,67,3.6418,67,0.9656,67,0.9717,67,0.9968,67,0.9963,67,0.3433,67,0.4681,67,0.6873
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_xSSC/formal_mix49_b2_dropout_metrics_20260719T204359Z_step-001500_steps40_512x896_ctx08_49f_customprompt,67,67,0.6872,67,29.5261,67,26.0128,67,4.1901,67,4.1161,67,3.7313,0,0.0,67,3.9552,67,0.9684,67,0.9731,67,0.9971,67,0.9963,67,0.2985,67,0.4692,67,0.6827
