method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,videophy2_sa_score_count,videophy2_sa_score_mean,videophy2_pc_score_count,videophy2_pc_score_mean,videophy2_joint_rate_count,videophy2_joint_rate_mean,videophy2_pc_raw_score_count,videophy2_pc_raw_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean,vbench_subject_consistency_score_count,vbench_subject_consistency_score_mean,vbench_background_consistency_score_count,vbench_background_consistency_score_mean,vbench_temporal_flickering_score_count,vbench_temporal_flickering_score_mean,vbench_motion_smoothness_score_count,vbench_motion_smoothness_score_mean,vbench_dynamic_degree_score_count,vbench_dynamic_degree_score_mean,vbench_aesthetic_quality_score_count,vbench_aesthetic_quality_score_mean,vbench_imaging_quality_score_count,vbench_imaging_quality_score_mean
wan22_baseline_top100_steps_20_30,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_top100_steps_20_30,20,20,0.7079,20,31.943,20,19.0465,20,4.4598,20,4.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,1.9,20,0.949,20,0.9593,20,0.9953,20,0.995,20,0.6,20,0.4127,20,0.5934
wan22_baseline_top100_steps_30_40,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_top100_steps_30_40,20,20,0.7056,20,32.1525,20,15.3365,20,4.3982,20,4.2032,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,1.8,20,0.9243,20,0.9465,20,0.995,20,0.9948,20,0.55,20,0.3951,20,0.5665
wan22_baseline_bottom100_steps_00_10,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_bottom100_steps_00_10,20,20,0.7095,20,16.053,20,5.5605,20,3.4064,20,3.1098,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,1.65,20,0.8361,20,0.9261,20,0.9897,20,0.9915,20,0.75,20,0.3886,20,0.6693
wan22_baseline_bottom100_steps_10_20,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_bottom100_steps_10_20,20,20,0.6946,20,26.667,20,11.6715,20,3.6706,20,3.3677,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,1.6,20,0.8294,20,0.9216,20,0.9936,20,0.9946,20,0.25,20,0.3746,20,0.6731
wan22_baseline_bottom100_steps_20_30,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_bottom100_steps_20_30,20,20,0.7052,20,32.1545,20,14.9775,20,4.4231,20,4.1175,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,1.55,20,0.8872,20,0.9407,20,0.9948,20,0.995,20,0.45,20,0.3977,20,0.6215
