method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,videophy2_sa_score_count,videophy2_sa_score_mean,videophy2_pc_score_count,videophy2_pc_score_mean,videophy2_joint_rate_count,videophy2_joint_rate_mean,videophy2_pc_raw_score_count,videophy2_pc_raw_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean,vbench_subject_consistency_score_count,vbench_subject_consistency_score_mean,vbench_background_consistency_score_count,vbench_background_consistency_score_mean,vbench_temporal_flickering_score_count,vbench_temporal_flickering_score_mean,vbench_motion_smoothness_score_count,vbench_motion_smoothness_score_mean,vbench_dynamic_degree_score_count,vbench_dynamic_degree_score_mean,vbench_aesthetic_quality_score_count,vbench_aesthetic_quality_score_mean,vbench_imaging_quality_score_count,vbench_imaging_quality_score_mean
wan22_baseline_bottom100_steps_30_40,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_bottom100_steps_30_40,20,20,0.7053,20,32.7735,20,15.423,20,4.2389,20,3.9518,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,1.4,20,0.8815,20,0.9378,20,0.9951,20,0.9954,20,0.45,20,0.3895,20,0.5746
wan22_baseline_adaptive_top30_steps_00_40,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_adaptive_top30_steps_00_40,20,20,0.7146,20,29.1645,20,14.6245,20,4.127,20,3.927,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.25,16,0.9368,16,0.9551,16,0.9925,16,0.9932,20,0.65,20,0.4144,20,0.5998
wan22_baseline_adaptive_bottom30_steps_00_40,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan22_baseline_adaptive_bottom30_steps_00_40,20,20,0.7205,20,12.889,20,3.8925,20,2.9195,20,2.6335,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,1.15,16,0.8231,16,0.9211,16,0.9848,16,0.9863,20,0.7,20,0.4,20,0.615
wan_lora_top30_steps_00_10,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan_lora_top30_steps_00_10,20,20,0.7011,20,41.47,20,24.5365,20,4.9336,20,4.7943,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.6,20,0.9732,20,0.9748,20,0.9975,20,0.9969,20,0.4,20,0.4219,20,0.63
wan_lora_top30_steps_10_20,/data/gaoya/agent-data/outputs/pck_extreme_benchmark_test5_ready/methods/wan_lora_top30_steps_10_20,20,20,0.6998,20,39.108,20,26.4685,20,4.9334,20,4.8028,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.0,20,0.9725,20,0.9741,20,0.9977,20,0.9969,20,0.45,20,0.4162,20,0.6336
