method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,videophy2_sa_score_count,videophy2_sa_score_mean,videophy2_pc_score_count,videophy2_pc_score_mean,videophy2_joint_rate_count,videophy2_joint_rate_mean,videophy2_pc_raw_score_count,videophy2_pc_raw_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean,vbench_subject_consistency_score_count,vbench_subject_consistency_score_mean,vbench_background_consistency_score_count,vbench_background_consistency_score_mean,vbench_temporal_flickering_score_count,vbench_temporal_flickering_score_mean,vbench_motion_smoothness_score_count,vbench_motion_smoothness_score_mean,vbench_dynamic_degree_score_count,vbench_dynamic_degree_score_mean,vbench_aesthetic_quality_score_count,vbench_aesthetic_quality_score_mean,vbench_imaging_quality_score_count,vbench_imaging_quality_score_mean
wan2p2_ti2v5B_aligned49_steps40_512x896_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/basemodel/wan2p2_ti2v5B_aligned49_steps40_512x896_49f_defaultnegprompt,67,67,0.6994,67,17.9285,67,15.5876,67,3.5519,67,3.464,67,0.1791,67,3.1493,67,3.4776,67,0.1791,67,3.4627,0,0.0,67,3.2836,67,0.9353,67,0.9527,67,0.9908,67,0.9917,67,0.6269,67,0.4724,67,0.6659
raw_phys_state_wan_lora_continue_576x1024_f24_step-000500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/loramodel/wan_openvid_0613pybullet_lorav2v_step000500_aligned49_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6877,67,25.3497,67,21.7148,67,4.1317,67,4.0541,67,0.2239,67,3.1045,67,3.5821,67,0.2239,67,3.6269,0,0.0,67,3.791,67,0.9651,67,0.9714,67,0.9969,67,0.9966,67,0.3582,67,0.479,67,0.6757
openvid_mixed_ctx24_384x672_lora_step-010000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/loramodel/wan_openvid_lorav2v_step10000_aligned49_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6949,67,26.7794,67,23.8951,67,3.9206,67,3.8263,67,0.1791,67,3.0746,67,3.4328,67,0.1791,67,3.4179,0,0.0,67,3.0746,67,0.9573,67,0.9659,67,0.9957,67,0.9952,67,0.4627,67,0.4761,67,0.6664
physRVG_steps40_512x896_08_49f,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/physRVG_steps40_512x896_08_49f,67,67,0.683,67,38.7637,67,35.8627,67,4.4066,67,4.336,67,0.1791,67,2.9701,67,3.7463,67,0.1791,67,3.7463,0,0.0,67,4.4478,67,0.9842,67,0.9825,67,0.9986,67,0.9972,67,0.2388,67,0.4729,67,0.6674
physRVG_finetunedDiT_noLoRA_steps40_512x896_08_49f,/home/gaoya/data/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/physRVG_finetunedDiT_noLoRA_steps40_512x896_08_49f,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
