method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean
train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_temporal_scale_100,/data/gaoya/agent-data/outputs/physiq_full_scheme_review_20260712/scale_sweep/train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_temporal_scale_100,6,0,0.0,6,19.345,6,14.0717,6,3.6678,6,3.5881,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_proposal_gdinothenmotion_nocaption,/data/gaoya/agent-data/outputs/physiq_full_scheme_review_20260712/proposal_pilot/train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_proposal_gdinothenmotion_nocaption,6,0,0.0,6,21.0717,6,16.0983,6,3.6834,6,3.6035,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_proposal_gdinothenmotion_fullcaption,/data/gaoya/agent-data/outputs/physiq_full_scheme_review_20260712/proposal_pilot/train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_proposal_gdinothenmotion_fullcaption,6,0,0.0,6,21.4083,6,16.3783,6,3.6854,6,3.6091,0,0.0,0,0.0,0,0.0
train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_proposal_motionthengdino_fullcaption,/data/gaoya/agent-data/outputs/physiq_full_scheme_review_20260712/proposal_pilot/train_stage1b_kubric0708_stability_v3_from_scratch_20260711T144000Z_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt_proposal_motionthengdino_fullcaption,6,0,0.0,6,21.5617,6,16.2833,6,3.6829,6,3.6069,0,0.0,0,0.0,0,0.0
